,Audio,text
10,Pior. É a questão é você acredita que as redes sociais digitais ajudam a aumentar as posições de ministros. O que você tem só esta opinião. Bem. Eu não acredito que o país. Mundo vamos dizer os campo mais abrangente vem passando por uma transformação de acesso a notícias e informações em pessoas de um modo nunca visto antes. É isso tem e tornando as pessoas muito to de dizer sim vulneráveis a tantas informações vindas de tantos lugares diferentes. É o que que o vive junto sem nisso vence volume de informações chegando de vários lugares de várias fontes e que várias perspectivas né um fato ilha transformado conforme a linguagem que é proposta na aquela notícia naquele leito me tio naquele e naquela foto do dos do insta aquela aquele fato a ele possa ser é visto com bons olhos do gerador. Da que ela anda que linda que a rede social tão um por exemplo é caiu um copo no restaurante na pessoa com um pelo twitter de que aquele como caiu o restaurante. Tá só isso mútuo mas na mático lance nossa garçon vai ser mandada embora porque caiu um copo no restaurante talvez uma outra pessoa valises mansa que pra gente nica bo comprar essa marca. Então um as variáveis das pessoas que geram mundo informa a informação sobre o fato é que transforma essas posições talvez em posições extremistas. Isso é uma verdade para tudo acredito que não. Acredito que. Essas posições extremistas    indivíduos ana não é um ela não pode ser considerada uma quis ver assim uma condição em. Sine com a não um para todos. Tão nos. O extremismo está muito vivo e não necessariamente nas redes sociais ...                    que ele pode não só através dos meios digitais mais através de seu seu comportamento diário ser extremista não os anos rio digitais relações só são um meio de propagação o principal ator de tudo isso. É a pessoa. Grande abraço meu amigo gregas.,pior questao acreditar redes sociais digitais ajudar aumentar posicoes ministros opiniao bem acreditar pais mundo vamos dizer campo abrangente vem passar transformacao acesso noticias informacoes pessoas modo nunca vestir antes tornar pessoas to dizer vulneraveis tantas informacoes vir tantos lugares diferentes viver junto vencer volume informacoes chegar varios lugares varias fontes varias perspectivas ne fato ilha transformar conforme linguagem proposto noticia leito tio foto instar fato possa ser vestir bons olhos gerador andar linda rede social exemplo cair copo restaurante pessoa twitter cair restaurante ta mutuo matico lance garcon ser mandar embora cair copo restaurante talvez outra pessoa valises mansa pra gente nica bo comprar marca entao variaveis pessoas gerar mundo informar informacao sobre fato transformar posicoes talvez posicoes extremistas verdade acredito acreditar posicoes extremistas     individuos ana ser considerar quis assim condicao sine todos extremismo vivo necessariamente redes sociais ...                     atraves meios digitais atraves comportamento diario ser extremista anos rio digitais relacoes meio propagacao principal ator pessoa grande abracar amigo gregas
11,De ano. Ontem. A mídia lá vem notificando múltiplos episódios de radicalismo. É radicalismo político que tem ocorrido em países do ocidente não apenas na europa. Mas também nos estados unidos e mesmo no brasil com o objetivo de em sair consiste em demonstrar uma história. Em bem especial a do século vinte. Que fornece limeira mentes que possibilitam uma melhor compreensão e acontecimentos recentes esse sentido é possível constatar que o que os pressupostos básicos a permitir o fortalecimento de legendas extremista seriam a existência de profunda crise só se econômica fragilidade no sistema de representação política de um país apoio das massas empréstimos dos das forças armadas. Ademais o estudo identifica que as ressonâncias tem fomentado uma polarização raivosa no âmbito político inclusive através e de manipulação. Os leais e de bate e debates este a chuva ati e oficializados. Lançados por robôs malignas por fim o trabalho revela que todo esse contexto tem resultado uma produção. Legislativas dotada de retro os retrocessos.,ano ontem midia la vem notificar multiplos episodios radicalismo radicalismo politico ocorrer paises ocidente apenas europa estados unidos brasil objetivo sair consistir demonstrar historia bem especial seculo vinte fornecer limeira mentes possibilitar melhor compreensao acontecimentos recentes sentido possivel constatar pressupostos basicos permitir fortalecimento legendas extremista existencia profunda crise economica fragilidade sistema representacao politica pais apoio massas emprestimos forcas armar ademais estudo identifica ressonancias fomentar polarizacao raivosa ambito politico inclusive atraves manipulacao leais bate debates chuva ati oficializar lancar robos malignas fim trabalho revelar todo contexto resultar producao legislativas dotar retro retrocessos
12,De ano. Ontem. A mídia lá vem notificando múltiplos episódios de radicalismo. É radicalismo político que tem ocorrido em países do ocidente não apenas na europa. Mas também nos estados unidos e mesmo no brasil com o objetivo de em sair consiste em demonstrar uma história. Em bem especial a do século vinte. Que fornece limeira mentes que possibilitam uma melhor compreensão e acontecimentos recentes esse sentido é possível constatar que o que os pressupostos básicos a permitir o fortalecimento de legendas extremista seriam a existência de profunda crise só se econômica fragilidade no sistema de representação política de um país apoio das massas empréstimos dos das forças armadas. Ademais o estudo identifica que as ressonâncias tem fomentado uma polarização raivosa no âmbito político inclusive através e de manipulação. Os leais e de bate e debates este a chuva ati e oficializados. Lançados por robôs malignas por fim o trabalho revela que todo esse contexto tem resultado uma produção. Legislativas dotada de retro os retrocessos.,ano ontem midia la vem notificar multiplos episodios radicalismo radicalismo politico ocorrer paises ocidente apenas europa estados unidos brasil objetivo sair consistir demonstrar historia bem especial seculo vinte fornecer limeira mentes possibilitar melhor compreensao acontecimentos recentes sentido possivel constatar pressupostos basicos permitir fortalecimento legendas extremista existencia profunda crise economica fragilidade sistema representacao politica pais apoio massas emprestimos forcas armar ademais estudo identifica ressonancias fomentar polarizacao raivosa ambito politico inclusive atraves manipulacao leais bate debates chuva ati oficializar lancar robos malignas fim trabalho revelar todo contexto resultar producao legislativas dotar retro retrocessos
13,É ver que em que sim porque o extremismo na é já vem de longa data e vinho para sociedades de eike também é a fé que na juventude com informações como chegar o extremismo e executar as. É um país fechado uso é o oriente  médio o extremismo está paralisado há que países de outras continente então é as outras culturas e não consegue.,extremismo vir longa data vinho sociedades eike fe juventude informacoes chegar extremismo executar pais fechar uso oriente   medio extremismo paralisar paises outras continente entao outras culturas conseguir
14,Concordo pois é há muitos anos. Alguns grupos na na internet. O que é incentiva sussurro os cada vez mais radical como. Grupo. Sage para calibre lanças pois tive. Vimos vários. É é cliente perigo são suas páginas. A minha opinião pois falar dos alunos através de barcos. Tudo que nós póstumo negado subdistribuidores. Quem segue mesmo nunca nega. Para que. Quem tem opinião contrária. No negativo. Sobre o país. Tão um. Até a país fazem leis os os que o desastre que seguissem. Muito. De estreante pasmo religião. Na minha opinião. Muito muito ruins isso. As pessoas não têm consciência.,concordo pois muitos anos alguns grupos internet incentivo sussurro cada vez radical grupo sage calibrar lancas pois vir varios cliente perigo paginas opiniao pois falar alunos atraves barcos postumo negar subdistribuidores seguir nunca negar opiniao contraria negativo sobre pais pais fazer leis desastre seguir estreante pasmo religiao opiniao ruins pessoas ter consciencia
15,"Boa tarde tudo bem  A pasta do bem em relação ao questionamento das posições extremistas  e das relações sociais.Você Eu efetivamente acredita acredito  que não tem né até porque se a gente imaginar a margem de lucro em relação ao aaa visibilidade é um nicho de conhecimento sobre ao total de informações que está disponível nessas redes sociais são diversas . Então uma pessoas que são uma pessoa extremista lá que vai buscar o que está em questão com aquilo que está condizente   com um sua realidade com sua consciência naquele momento tão então daqueles  acredito que não é quem está mais usando o que está mais propício que está mais à vista, sim mas que as pessoas que não têm essa veracidade  vertente não se separam disso não vão ter essa subjugação em relação a estremeça  extremismo bom brigada todos.","bom tarde bem   pasta bem relacao questionamento posicoes extremistas   relacoes sociais.voce efetivamente acreditar acredito   ne gente imaginar margem lucro relacao aaa visibilidade nicho conhecimento sobre total informacoes disponivel redes sociais diversas entao pessoas pessoa extremista la buscar questao condizente    realidade consciencia momento entao d   acredito usar propicio vista , pessoas ter veracidade   vertente separar d vao subjugacao relacao estremeca   extremismo bom brigada todos"
16,Sim eu acredito que as redes sociais ajudam a realizar os posições extremistas nos mais variados temas vemos que socorre produz potinhos os retrocessos passam sensação de que o posso escrever abertamente que o penso por isso se trata de apenas uma liberdade de expressão. É essa cabrum promovendo o encontro das pessoas que possuem as mesmas posições um determinado assunto. Os seja fazendo com que essas pessoas sem coragem ratificar o pensamento extremista pois a outros grupos que já podem. Há também o efeito manada. Que isso é uma situação em que um grupo de indivíduos reage de maneira semelhante mesmo que de forma racional somente por conta da pressão exercida pelo grupo também é um ano é um fator que irá acaba promovendo esses essas posições extremistas. É o de dia principalmente em época de eleição é muito comum ver os carros em que houve briga com alguém da família ou um amigo somente por conta de atos divergência de pensamento. Entra por um post alguma coisa nas redes sociais é bem comum isso é em fios e sociais que foram criadas para conectar as pessoas dos diversos cantos do planeta atualmente elas tão seu segundo papel totalmente o contrário.,acreditar redes sociais ajudam realizar posicoes extremistas variar temas vemos socorrer produzir potinhos retrocessos passar sensacao posso escrever abertamente penso tratar apenas liberdade expressao cabrum promover encontro pessoas possuir mesmas posicoes determinar assunto fazer pessoas coragem ratificar pensamento extremista pois outros grupos poder efeito manar situacao grupo individuos reage maneira semelhante forma racional somente conta pressao exercido grupo ano fator ira acaba promover posicoes extremistas dia principalmente epoca eleicao comum carros briga alguem familia amigo somente conta atos divergencia pensamento entrar post alguma redes sociais bem comum fios sociais criar conectar pessoas diversos cantos planeta atualmente segundo papel totalmente contrario
17,Eu acho que as redes sociais não digo bem ração fomentam um ou o extremismo ela só deixam ele explícito porque. Você vai ver uma postagem de algo que você acredita e lá você tem milhões de pessoas com a mesma idéia que tinham coragem um há anos. A tem isso mais fortes antes de você equity encorajam a a a falar aqueles absurdos é. Tocou com algum se suas extremismo de coisas absurdas na vergastou extremismo para minha absurdo mesmo os que as idéias que eu compactuo às que não extremismo fazem mal. Então acho que assim você tem a casca se estão apoiando tão curtindo aquelas coisas que você tá falando que são coisas exagerados que todo mundo tem um extremismo nem se com uma coisa que não aceita que nunca ouvi e aí você as pessoas que concordam com aquilo que te aplaudo em é é que dão mais nisso então isso encoraja deve ser pega es tiras das redes sociais e foi para as ruas e vai para vidas então acho que nesse sentido ela fomenta sim porque ela reforça isso e tem pessoas ali concordando est apoiando porque quando o assunto são os não apóiam se perde força. Pessoa fala puxa inflacionista concorda não comigo deste fica aquece e quando tem um monte de gente ali e a da hora lais clay clay que você fala não tão razão continuo pretensamente que pode no pensamento errado o vencimento ruim ante peter monte de gente falando não tá maravilhoso se continua e vai mais fundo então nós pressentido.,achar redes sociais dizer bem racao fomentar extremismo deixar explicito postagem algo acreditar la milhoes pessoas mesma ideia coragem anos fortes antes equity encorajar falar absurdos tocar algum extremismo absurdo vergastar extremismo absurdo ideias compactuar s extremismo fazer mal entao achar assim casca apoiar curtir ta falar exagerar todo mundo extremismo aceito nunca ouvi ai pessoas concordar aplaudo dar entao encoraja deve ser pego es tiras redes sociais ruas vidas entao achar sentido fomentar reforcar pessoas ali concordar est apoiar assunto apoiam perde forca pessoa falir puxa inflacionista concordar comigo d ficar aquecer monte gente ali hora lais clay clay falir razao continuar pretensamente pensamento errar vencimento ruim ante peter monte gente falar ta maravilhoso continuar fundir entao pressentir
18,Bom a as redes sociais fomento sem estrelismo de opinião por que isso é interessante tanto na questão de conhecer mais a pessoa que causa na rede social quanto na questão comercial também é assentos e elas têm com um padrão de usar os seus dados parte direcionar conteúdo então você tem tanto no aspecto social ponto comercial envolvido ou seja. A medida que você vai entra na rede social e você vai contando pessoas se interessa pelo mesmo assunto você tem a mesma opinião que os pontos parecida você vai adentrando e aderem do mais a essa a a é sa a rede social camas interessado nela e à medida que você da utilizando você vai passa no mais hábitos de consumo de vai saber o que você você que você que você reage vai direcionando outro conteúdo relacionado para que você ponto é se depressões contudo também esconso monetizar isso no comercial também envolvida e por isso essas reações mais passionais e sim engajamento acaba se auto alimentando a medida que a pessoa vai mais e mais e mais é entra nos dentro dessa visão radical do mundo.,bom redes sociais fomento estrelismo opiniao interessante tanto questao conhecer pessoa causar rede social quanto questao comercial assentos ter padrao usar dados partir direcionar conteudo entao tanto aspecto social ponto comercial envolver medida entrar rede social contar pessoas interessar assunto mesma opiniao pontos parecido adentrar aderir sa rede social camas interessar medida utilizar passar habitos consumo saber reage direcionando outro conteudo relacionar ponto depressoes contudo esconsar monetizar comercial envolvido reacoes passionais engajamento acabar auto alimentar medida pessoa entrar dentro d visao radical mundo
19,O ano em que você acredita que as redes sociais digitais podem aumentar como concessões extremas de fim de ano porque sustentar a opinião porque acho que tudo o que é publicado na internet ajuda na formação de opinião nas pessoas e com uma onda de fey que ninhos que nós TEMOS invadimos a internet acaba muitas vezes fomenta opiniões e que pessoas que não fazem uma validação de fontes de dados SÓ LEÊM E que acreditam em tudo o que lê e acabam sendo influenciadas por inflamadas em funções dessas matérias primas que AS VEZES são usadas apenas para ISSO PRA INFLAMAR OS EXTREMOS mostrar os resultados de quem ee aí a. gente leva essas atitudes exageradas NÉ em quem A GENTE vê posições hoje e é de todos os tipos de pensamento bastante e feministas exageradas que é um mal que a sociedade está vivendo nesse momento.De lá.,ano acreditar redes sociais digitais podem aumentar concessoes extremo fim ano sustentar opiniao achar publicar internet ajudar formacao opiniao pessoas onda fey ninhos invadir internet acaba muitas vezes fomentar opinioes pessoas fazer validacao fontes dados leem acreditar ler acabam sendo influenciar inflamadas funcoes d materias primas vezes usar apenas pra inflamar extremos mostrar resultados e ai a. gente levar atitudes exagerar ne gente ver posicoes hoje todos tipos pensamento bastante feministas exagerar mal sociedade viver momento.de la
20,"São você acredita que a rede social digital ELA ajuda a aumentar como posições extremistas.Sim porque.É por que a maioria dos grupos radicais ELES chegam antes da internet porque ELES estão fora dos jornais.A mídia na salada e a mídia VISTA no modo de exibição então ficam muito mais fáceis de você colocar informações quando você não é visto o que é mais importante e o que é desta forma NÓS nos tornamos mais radicais porque, por estarmos no escuro então, A GENTE CONSEGUE APLICAR as pessoas podem usar qualquer tipo de calarNós não temos medo de nada, então, o que as pessoas fazem com ISSO que tudo as pessoas ficam mais expostas a algum tipo de abuso emocional, porque as pessoas não se expõem então não tem problema, as pessoas não têm nenhum problema de TER medo de argumentar alguma coisa.","acreditar rede social digital ajudar aumentar posicoes extremistas.sim porque.e maioria grupos radicais chegar antes internet jornais.a midia salada midia vista modo exibicao entao ficar faceis colocar informacoes vestir importante d forma tornar radicais , estar escuro entao , gente conseguir aplicar pessoas podem usar qualquer tipo calarnos medo nada , entao , pessoas fazer pessoas ficar exposto algum tipo abuso emocional , pessoas expor entao problema , pessoas ter nenhum problema medo argumentar alguma"
